pickup_month,monthly_hamper_demand,unique_client,total_visits,visits_last_90d,days_since_first_visit,avg_days_between_visits,distance_km,avg_distance_km,distance_category,total_dependents,unique_clients,returning_proportion,prev_month_demand,rolling_3m_demand
Aug-24,1297,1694726565413x787450075941437400,11,3.0,305,30.4,10.304,10.304,medium,4369,998,0.9826238053866203,7.0,748.0
Nov-23,591,1695064066262x277189512630108160,8,1.0,0,23.428571428571427,11.334,11.334,medium,2296,576,0.9915254237288136,1180.0,903.0
Dec-23,694,1695064066262x277189512630108160,8,2.0,26,23.428571428571427,11.334,11.334,medium,2594,646,0.9898107714701602,1297.0,666.0
Dec-23,694,1695064066262x277189512630108160,8,3.0,30,23.428571428571427,11.334,11.334,medium,2594,646,0.9898107714701602,1297.0,666.0
Jan-24,834,1695064066262x277189512630108160,8,4.0,63,23.428571428571427,11.334,11.334,medium,3160,765,0.9987878787878788,845.0,791.0
Feb-24,845,1695064066262x277189512630108160,8,4.0,99,23.428571428571427,11.334,11.334,medium,3190,812,0.9975816203143894,694.0,945.3333333333334
Mar-24,938,1695064066262x277189512630108160,8,3.0,127,23.428571428571427,11.334,11.334,medium,3418,871,0.9967032967032967,1538.0,1297.3333333333333
Apr-24,940,1695064066262x277189512630108160,8,3.0,153,23.428571428571427,11.334,11.334,medium,3525,905,0.9989224137931034,,940.0
May-24,1180,1695064066262x277189512630108160,8,4.0,168,23.428571428571427,11.334,11.334,medium,3634,935,0.9989680082559339,938.0,1218.6666666666667
Sep-23,16,1695666802742x869138633180053500,14,1.0,0,24.0,15.807,15.807,medium,49,13,1.0,37.0,214.66666666666666
Oct-23,37,1695666802742x869138633180053500,14,2.0,34,24.0,15.807,15.807,medium,115,30,1.0,591.0,602.6666666666666
Nov-23,591,1695666802742x869138633180053500,14,3.0,60,24.0,15.807,15.807,medium,2296,576,0.9915254237288136,1180.0,903.0
Dec-23,694,1695666802742x869138633180053500,14,3.0,93,24.0,15.807,15.807,medium,2594,646,0.9898107714701602,1297.0,666.0
Jan-24,834,1695666802742x869138633180053500,14,3.0,126,24.0,15.807,15.807,medium,3160,765,0.9987878787878788,845.0,791.0
Feb-24,845,1695666802742x869138633180053500,14,3.0,156,24.0,15.807,15.807,medium,3190,812,0.9975816203143894,694.0,945.3333333333334
Mar-24,938,1695666802742x869138633180053500,14,3.0,185,24.0,15.807,15.807,medium,3418,871,0.9967032967032967,1538.0,1297.3333333333333
Apr-24,940,1695666802742x869138633180053500,14,4.0,188,24.0,15.807,15.807,medium,3525,905,0.9989224137931034,,940.0
May-24,1180,1695666802742x869138633180053500,14,4.0,218,24.0,15.807,15.807,medium,3634,935,0.9989680082559339,938.0,1218.6666666666667
Jun-24,1538,1695666802742x869138633180053500,14,4.0,254,24.0,15.807,15.807,medium,3659,939,1.0,1416.0,985.6666666666666
Jun-24,1538,1695666802742x869138633180053500,14,5.0,254,24.0,15.807,15.807,medium,3659,939,1.0,1416.0,985.6666666666666
Jul-24,1416,1695666802742x869138633180053500,14,4.0,287,24.0,15.807,15.807,medium,4219,985,0.9955277280858676,3.0,751.0
Aug-24,1297,1695666802742x869138633180053500,14,4.0,318,24.0,15.807,15.807,medium,4369,998,0.9826238053866203,7.0,748.0
Aug-24,1297,1695666802742x869138633180053500,14,5.0,318,24.0,15.807,15.807,medium,4369,998,0.9826238053866203,7.0,748.0
Sep-23,16,1695668938193x837332440616796200,12,1.0,0,28.727272727272727,12.458,12.458,medium,49,13,1.0,37.0,214.66666666666666
Oct-23,37,1695668938193x837332440616796200,12,2.0,29,28.727272727272727,12.458,12.458,medium,115,30,1.0,591.0,602.6666666666666
Nov-23,591,1695668938193x837332440616796200,12,3.0,63,28.727272727272727,12.458,12.458,medium,2296,576,0.9915254237288136,1180.0,903.0
Dec-23,694,1695668938193x837332440616796200,12,3.0,93,28.727272727272727,12.458,12.458,medium,2594,646,0.9898107714701602,1297.0,666.0
Jan-24,834,1695668938193x837332440616796200,12,3.0,125,28.727272727272727,12.458,12.458,medium,3160,765,0.9987878787878788,845.0,791.0
Feb-24,845,1695668938193x837332440616796200,12,3.0,156,28.727272727272727,12.458,12.458,medium,3190,812,0.9975816203143894,694.0,945.3333333333334
Mar-24,938,1695668938193x837332440616796200,12,3.0,185,28.727272727272727,12.458,12.458,medium,3418,871,0.9967032967032967,1538.0,1297.3333333333333
Apr-24,940,1695668938193x837332440616796200,12,4.0,188,28.727272727272727,12.458,12.458,medium,3525,905,0.9989224137931034,,940.0
May-24,1180,1695668938193x837332440616796200,12,4.0,218,28.727272727272727,12.458,12.458,medium,3634,935,0.9989680082559339,938.0,1218.6666666666667
May-24,1180,1695668938193x837332440616796200,12,4.0,247,28.727272727272727,12.458,12.458,medium,3634,935,0.9989680082559339,938.0,1218.6666666666667
Jul-24,1416,1695668938193x837332440616796200,12,3.0,280,28.727272727272727,12.458,12.458,medium,4219,985,0.9955277280858676,3.0,751.0
Aug-24,1297,1695668938193x837332440616796200,12,3.0,321,28.727272727272727,12.458,12.458,medium,4369,998,0.9826238053866203,7.0,748.0
Sep-23,16,1695674810374x605387076667179000,11,1.0,0,31.7,10.227,10.227,medium,49,13,1.0,37.0,214.66666666666666
Oct-23,37,1695674810374x605387076667179000,11,2.0,29,31.7,10.227,10.227,medium,115,30,1.0,591.0,602.6666666666666
Nov-23,591,1695674810374x605387076667179000,11,3.0,64,31.7,10.227,10.227,medium,2296,576,0.9915254237288136,1180.0,903.0
Jan-24,834,1695674810374x605387076667179000,11,3.0,99,31.7,10.227,10.227,medium,3160,765,0.9987878787878788,845.0,791.0
Feb-24,845,1695674810374x605387076667179000,11,3.0,133,31.7,10.227,10.227,medium,3190,812,0.9975816203143894,694.0,945.3333333333334
Mar-24,938,1695674810374x605387076667179000,11,3.0,163,31.7,10.227,10.227,medium,3418,871,0.9967032967032967,1538.0,1297.3333333333333
Apr-24,940,1695674810374x605387076667179000,11,3.0,191,31.7,10.227,10.227,medium,3525,905,0.9989224137931034,,940.0
May-24,1180,1695674810374x605387076667179000,11,3.0,223,31.7,10.227,10.227,medium,3634,935,0.9989680082559339,938.0,1218.6666666666667
Jun-24,1538,1695674810374x605387076667179000,11,3.0,261,31.7,10.227,10.227,medium,3659,939,1.0,1416.0,985.6666666666666
Jul-24,1416,1695674810374x605387076667179000,11,3.0,300,31.7,10.227,10.227,medium,4219,985,0.9955277280858676,3.0,751.0
Aug-24,1297,1695674810374x605387076667179000,11,3.0,324,31.7,10.227,10.227,medium,4369,998,0.9826238053866203,7.0,748.0
Sep-23,16,1695832320795x606773292126699500,13,1.0,0,25.916666666666668,8.898,8.898,medium,49,13,1.0,37.0,214.66666666666666
Oct-23,37,1695832320795x606773292126699500,13,2.0,29,25.916666666666668,8.898,8.898,medium,115,30,1.0,591.0,602.6666666666666
Nov-23,591,1695832320795x606773292126699500,13,3.0,61,25.916666666666668,8.898,8.898,medium,2296,576,0.9915254237288136,1180.0,903.0
Nov-23,591,1695832320795x606773292126699500,13,4.0,64,25.916666666666668,8.898,8.898,medium,2296,576,0.9915254237288136,1180.0,903.0
Dec-23,694,1695832320795x606773292126699500,13,4.0,93,25.916666666666668,8.898,8.898,medium,2594,646,0.9898107714701602,1297.0,666.0
Jan-24,834,1695832320795x606773292126699500,13,4.0,124,25.916666666666668,8.898,8.898,medium,3160,765,0.9987878787878788,845.0,791.0
Feb-24,845,1695832320795x606773292126699500,13,5.0,132,25.916666666666668,8.898,8.898,medium,3190,812,0.9975816203143894,694.0,945.3333333333334
Mar-24,938,1695832320795x606773292126699500,13,4.0,162,25.916666666666668,8.898,8.898,medium,3418,871,0.9967032967032967,1538.0,1297.3333333333333
Apr-24,940,1695832320795x606773292126699500,13,4.0,194,25.916666666666668,8.898,8.898,medium,3525,905,0.9989224137931034,,940.0
May-24,1180,1695832320795x606773292126699500,13,3.0,224,25.916666666666668,8.898,8.898,medium,3634,935,0.9989680082559339,938.0,1218.6666666666667
Jun-24,1538,1695832320795x606773292126699500,13,3.0,254,25.916666666666668,8.898,8.898,medium,3659,939,1.0,1416.0,985.6666666666666
Jul-24,1416,1695832320795x606773292126699500,13,3.0,284,25.916666666666668,8.898,8.898,medium,4219,985,0.9955277280858676,3.0,751.0
Aug-24,1297,1695832320795x606773292126699500,13,3.0,315,25.916666666666668,8.898,8.898,medium,4369,998,0.9826238053866203,7.0,748.0
Sep-23,16,1695836913047x762693011830472700,12,1.0,0,30.09090909090909,10.768,10.768,medium,49,13,1.0,37.0,214.66666666666666
Oct-23,37,1695836913047x762693011830472700,12,2.0,29,30.09090909090909,10.768,10.768,medium,115,30,1.0,591.0,602.6666666666666
Nov-23,591,1695836913047x762693011830472700,12,3.0,60,30.09090909090909,10.768,10.768,medium,2296,576,0.9915254237288136,1180.0,903.0
Dec-23,694,1695836913047x762693011830472700,12,3.0,90,30.09090909090909,10.768,10.768,medium,2594,646,0.9898107714701602,1297.0,666.0
Jan-24,834,1695836913047x762693011830472700,12,3.0,121,30.09090909090909,10.768,10.768,medium,3160,765,0.9987878787878788,845.0,791.0
Feb-24,845,1695836913047x762693011830472700,12,4.0,138,30.09090909090909,10.768,10.768,medium,3190,812,0.9975816203143894,694.0,945.3333333333334
Mar-24,938,1695836913047x762693011830472700,12,4.0,170,30.09090909090909,10.768,10.768,medium,3418,871,0.9967032967032967,1538.0,1297.3333333333333
May-24,1180,1695836913047x762693011830472700,12,3.0,217,30.09090909090909,10.768,10.768,medium,3634,935,0.9989680082559339,938.0,1218.6666666666667
Jun-24,1538,1695836913047x762693011830472700,12,3.0,254,30.09090909090909,10.768,10.768,medium,3659,939,1.0,1416.0,985.6666666666666
Jun-24,1538,1695836913047x762693011830472700,12,3.0,273,30.09090909090909,10.768,10.768,medium,3659,939,1.0,1416.0,985.6666666666666
Jul-24,1416,1695836913047x762693011830472700,12,4.0,303,30.09090909090909,10.768,10.768,medium,4219,985,0.9955277280858676,3.0,751.0
